id,state,hr
0,0,97.37862987773886
0,0,97.2544478849998
0,0,118.88437196881488
0,0,99.0381207616375
0,0,98.64934714063104
0,1,97.93548603938416
0,1,95.77169070422993
0,1,95.0732798948556
0,1,95.13874842386168
0,1,91.23806052916908
0,1,88.53126915149562
0,1,87.19896290220274
0,1,87.7583812880214
0,1,88.53121561501104
0,1,85.46230956096066
0,1,88.14514132382462
0,1,86.7050745458449
0,1,84.17302970875706
0,1,86.48164505679934
0,1,85.58069629671186
0,1,83.56914107014987
0,2,80.9007644805304
0,2,80.6378367645006
0,2,79.48275552504104
0,2,78.11026370918168
0,2,76.13607726411763
0,2,75.74819997904173
0,2,75.0669756215642
0,2,76.49716261041833
0,2,75.24358486751856
0,2,76.80459352133545
0,2,76.35280661091717
0,2,73.97598104390593
0,2,73.7117143210251
0,2,73.8763660811492
0,2,75.09111679960616
0,2,72.70132085695899
0,2,71.66936760423597
0,2,71.38651994953206
0,2,71.68176418285807
0,2,72.5407452673821
0,2,75.16105378273228
0,2,72.5395641902395
0,2,74.50798180459809
0,2,76.5687679884531
0,2,75.45955606870307
0,2,73.69158083926581
0,2,76.99524423643855
0,2,75.85868479822855
0,2,75.6650401995249
0,2,77.9737210800637
0,2,77.12832085496876
0,2,75.68859155189595
0,2,76.04482429821282
0,2,76.192087686589
0,2,74.89564792533169
0,2,74.1074561360664
0,2,76.35859596818841
0,2,72.12282428004829
0,2,89.4808960923753
0,2,75.75290134326444
0,2,74.5912062326311
0,2,89.17442476873441
0,2,71.53539491160382
0,2,72.68041154030864
0,2,70.9131253054592
0,2,70.94493911167844
0,2,74.79828928379203
0,2,74.02478097501708
0,2,71.90823394374775
0,2,72.23200252770053
0,2,74.83696464990176
0,2,90.33406253657624
0,2,73.46805273904629
0,2,69.68187665208428
0,2,73.55131002720465
0,2,75.47320473339525
0,2,75.65723590030322
0,2,77.07162313225356
0,2,74.98402650292783
0,2,74.3637669651996
0,2,73.11062058529494
0,2,72.16196571924004
0,2,71.26072225560524
0,2,70.59635222669014
0,2,70.76100538059897
0,2,69.1777126870767
0,2,70.94008232973515
0,2,71.35928991497049
0,2,68.89343134364128
0,2,71.89709413150781
0,2,74.0499379894496
0,2,72.57274705739673
0,2,72.07154308465458
0,2,73.2328670178398
0,2,72.36561218872595
0,2,73.18242235684356
0,2,71.87968014086745
